Date Rptd,DR NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,Crm Cd Desc,Status,Status Desc,LOCATION,Cross Street,Location 1
06/04/2014,141111296,06/03/2014,0600,11,Northeast,1105,480,BIKE - STOLEN,IC,Invest Cont, 2000         COLORADO                     BL,,"(34.1392, -118.2106)"
06/04/2014,141111308,06/03/2014,2000,11,Northeast,1148,480,BIKE - STOLEN,IC,Invest Cont,  400         WREN                         DR,,"(34.1028, -118.2086)"
06/03/2014,141213707,06/03/2014,0800,12,77th Street,1239,480,BIKE - STOLEN,IC,Invest Cont,  800      W  60TH                         ST,,"(33.9855, -118.287)"
06/08/2014,141913388,06/03/2014,1200,19,Mission,1913,480,BIKE - STOLEN,AA,Adult Arrest,14600         NURMI                        ST,,"(34.308, -118.4509)"
06/03/2014,140709858,06/02/2014,1130,07,Wilshire,0735,480,BIKE - STOLEN,IC,Invest Cont,  600      S  COCHRAN                      AV,,"(34.0649, -118.3472)"
06/04/2014,141111356,06/02/2014,1200,11,Northeast,1162,480,BIKE - STOLEN,IC,Invest Cont, 4600         LA MIRADA                    AV,,"(34.0945, -118.2903)"
06/02/2014,142011105,06/02/2014,1740,20,Olympic,2055,480,BIKE - STOLEN,IC,Invest Cont, 1000         FEDORA                       ST,,"(34.0526, -118.2979)"
06/01/2014,140409861,06/01/2014,1115,04,Hollenbeck,0453,480,BIKE - STOLEN,IC,Invest Cont, 1700      E  CESAR E CHAVEZ               AV,,"(34.0512, -118.2176)"
07/10/2014,140615114,06/01/2014,0500,06,Hollywood,0638,480,BIKE - STOLEN,IC,Invest Cont, 5500         HOLLYWOOD                    BL,,"(34.1017, -118.3093)"
06/05/2014,141111403,06/01/2014,1853,11,Northeast,1161,480,BIKE - STOLEN,IC,Invest Cont, 4900         SANTA MONICA                 BL,,"(34.0909, -118.2961)"
06/02/2014,141213574,06/01/2014,2340,12,77th Street,1213,480,BIKE - STOLEN,IC,Invest Cont, 5400      S  WESTERN                      AV,,"(33.9933, -118.3089)"
06/01/2014,142011074,06/01/2014,1810,20,Olympic,2026,480,BIKE - STOLEN,IC,Invest Cont,  300      S  BERENDO                      ST,,"(34.0691, -118.2941)"
05/31/2014,140211791,05/31/2014,1400,02,Rampart,0256,480,BIKE - STOLEN,IC,Invest Cont,  600      S  BONNIE BRAE                  ST,,"(34.0585, -118.2725)"
07/27/2014,140412152,05/31/2014,0001,04,Hollenbeck,0406,480,BIKE - STOLEN,IC,Invest Cont, 4200         VIA ARBOLADA,,"(34.096, -118.185)"
06/04/2014,141111357,05/31/2014,0200,11,Northeast,1109,480,BIKE - STOLEN,IC,Invest Cont,              COLORADO,   TOWNSEND,"(34.1395, -118.2015)"
06/22/2014,141112236,05/31/2014,2000,11,Northeast,1105,480,BIKE - STOLEN,IC,Invest Cont, 5100         WINDERMERE                   AV,,"(34.1397, -118.2174)"
05/31/2014,142010997,05/31/2014,0430,20,Olympic,2071,480,BIKE - STOLEN,IC,Invest Cont,              GRAMERCY                     PL,   VENICE                       BL,"(34.0445, -118.313)"
06/01/2014,141312256,05/30/2014,2100,13,Newton,1313,480,BIKE - STOLEN,IC,Invest Cont,              16TH                         ST,   MAPLE                        AV,"(34.0316, -118.2589)"
05/30/2014,141111101,05/29/2014,1200,11,Northeast,1163,480,BIKE - STOLEN,IC,Invest Cont, 1200      N  EDGEMONT                     ST,,"(34.0934, -118.2961)"
05/29/2014,140113437,05/28/2014,1545,01,Central,0139,480,BIKE - STOLEN,IC,Invest Cont,  600         TRACTION                     AV,,"(34.0463, -118.2371)"
06/02/2014,140211894,05/28/2014,0845,02,Rampart,0236,480,BIKE - STOLEN,IC,Invest Cont, 1800         BEVERLY                      BL,,"(34.0652, -118.267)"
06/05/2014,141111424,05/28/2014,1600,11,Northeast,1118,480,BIKE - STOLEN,IC,Invest Cont, 5600         BALTIMORE                    ST,,"(34.1174, -118.1972)"
05/28/2014,142010876,05/28/2014,0800,20,Olympic,2029,480,BIKE - STOLEN,IC,Invest Cont,  400      S  WESTMORELAND                 AV,,"(34.0668, -118.2884)"
05/27/2014,140211547,05/27/2014,0230,02,Rampart,0245,480,BIKE - STOLEN,IC,Invest Cont,              7TH                          ST,   ALVARADO                     ST,"(34.059, -118.2823)"
05/29/2014,140612627,05/27/2014,2155,06,Hollywood,0678,480,BIKE - STOLEN,IC,Invest Cont,  900      N  SERRANO                      AV,,"(34.0863, -118.3064)"
05/28/2014,141110977,05/27/2014,2200,11,Northeast,1181,480,BIKE - STOLEN,IC,Invest Cont, 1900      W  SUNSET                       BL,,"(34.0781, -118.2609)"
06/08/2014,141111518,05/27/2014,0800,11,Northeast,1107,480,BIKE - STOLEN,IC,Invest Cont, 1500         YOSEMITE                     DR,,"(34.1328, -118.1981)"
06/27/2014,141513225,05/27/2014,1200,15,N Hollywood,1535,480,BIKE - STOLEN,IC,Invest Cont,11400         HATTERAS                     ST,,"(34.1758, -118.379)"
05/27/2014,141912437,05/27/2014,0900,19,Mission,1987,480,BIKE - STOLEN,IC,Invest Cont,14000         OSBORNE                      ST,,"(34.233, -118.4386)"
05/27/2014,142010809,05/27/2014,0900,20,Olympic,2036,480,BIKE - STOLEN,IC,Invest Cont, 3200         WILSHIRE                     BL,,"(34.0618, -118.2916)"
06/04/2014,140313134,05/26/2014,1700,03,Southwest,0396,480,BIKE - STOLEN,IC,Invest Cont,              42ND,   VERMONT,"(34.0064, -118.2915)"
05/26/2014,140612431,05/26/2014,1410,06,Hollywood,0666,480,BIKE - STOLEN,IC,Invest Cont,              VINE                         ST,   DE LONGPRE                   AV,"(34.0976, -118.3267)"
05/27/2014,140709534,05/26/2014,1430,07,Wilshire,0733,480,BIKE - STOLEN,IC,Invest Cont, 5900         WILSHIRE                     BL,,"(34.0626, -118.3578)"
05/28/2014,140709637,05/25/2014,1400,07,Wilshire,0726,480,BIKE - STOLEN,IC,Invest Cont, 7200         BEVERLY                      BL,,"(34.0762, -118.3462)"
06/18/2014,141214610,05/25/2014,1400,12,77th Street,1215,480,BIKE - STOLEN,IC,Invest Cont,              54TH                         ST,   VERMONT,"(33.9933, -118.3024)"
05/24/2014,140709445,05/24/2014,0400,07,Wilshire,0727,480,BIKE - STOLEN,IC,Invest Cont,  100      N  SYCAMORE                     AV,,"(34.0736, -118.343)"
05/27/2014,141110953,05/24/2014,1200,11,Northeast,1143,480,BIKE - STOLEN,IC,Invest Cont, 4300         MELBOURNE                    AV,,"(34.1036, -118.283)"
05/31/2014,140113560,05/23/2014,1800,01,Central,0111,480,BIKE - STOLEN,IC,Invest Cont,  500      N  FIGUEROA                     ST,,"(34.0617, -118.2469)"
05/24/2014,140113076,05/22/2014,1100,01,Central,0163,480,BIKE - STOLEN,IC,Invest Cont,  800      S  BROADWAY,,"(34.0438, -118.2547)"
06/16/2014,140710398,05/22/2014,1400,07,Wilshire,0721,480,BIKE - STOLEN,JA,Juv Arrest,  100      S  ALMONT                       DR,,"(34.0753, -118.3877)"
05/22/2014,142000585,05/22/2014,2210,20,Olympic,2044,480,BIKE - STOLEN,AA,Adult Arrest,              ARDMORE,   WILSHIRE,"(34.0618, -118.302)"
05/23/2014,142010606,05/22/2014,0900,20,Olympic,2081,480,BIKE - STOLEN,IC,Invest Cont, 1600      S  WESTERN                      AV,,"(34.0436, -118.309)"
05/25/2014,140211468,05/21/2014,2230,02,Rampart,0205,480,BIKE - STOLEN,IC,Invest Cont, 2900         BELLEVUE                     AV,,"(34.0769, -118.2758)"
05/27/2014,140211570,05/21/2014,1200,02,Rampart,0269,480,BIKE - STOLEN,IC,Invest Cont,  700      S  BIXEL                        ST,,"(34.0509, -118.2642)"
06/05/2014,140212074,05/21/2014,0005,02,Rampart,0245,480,BIKE - STOLEN,IC,Invest Cont,              WILSHIRE                     BL,   ALVARADO,"(34.0603, -118.281)"
05/21/2014,140709344,05/21/2014,0905,07,Wilshire,0764,480,BIKE - STOLEN,IC,Invest Cont,              RIMPAU,   VENICE                       BL,"(34.0466, -118.3405)"
05/22/2014,141212817,05/21/2014,1900,12,77th Street,1203,480,BIKE - STOLEN,IC,Invest Cont, 5100      S  SAINT ANDREWS                PL,,"(33.997, -118.3113)"
05/20/2014,140112795,05/20/2014,1600,01,Central,0155,480,BIKE - STOLEN,IC,Invest Cont,              5TH,   MAPLE                        AV,"(34.0454, -118.2466)"
06/09/2014,140114130,05/19/2014,1720,01,Central,0138,480,BIKE - STOLEN,IC,Invest Cont,  200      S  SAN PEDRO                    ST,,"(34.0493, -118.2418)"
05/20/2014,140211152,05/19/2014,1630,02,Rampart,0245,480,BIKE - STOLEN,IC,Invest Cont,              ALVARADO                     ST,   WILSHIRE                     BL,"(34.0569, -118.2766)"
05/20/2014,140211193,05/19/2014,2300,02,Rampart,0201,480,BIKE - STOLEN,IC,Invest Cont, 4700         WILLOW BROOK                 AV,,"(34.0895, -118.2939)"
05/20/2014,141110651,05/19/2014,0405,11,Northeast,1136,480,BIKE - STOLEN,IC,Invest Cont, 4000         EAGLE ROCK                   BL,,"(34.1201, -118.2289)"
05/20/2014,141110658,05/19/2014,1945,11,Northeast,1171,480,BIKE - STOLEN,IC,Invest Cont, 3300         HAMILTON                     WY,,"(34.0865, -118.2744)"
05/20/2014,142010444,05/19/2014,1700,20,Olympic,2001,480,BIKE - STOLEN,IC,Invest Cont,  600      N  PLYMOUTH                     BL,,"(34.0817, -118.3206)"
05/18/2014,140112668,05/18/2014,1100,01,Central,0153,480,BIKE - STOLEN,IC,Invest Cont,  200      W  6TH                          ST,,"(34.046, -118.2509)"
05/19/2014,140112704,05/18/2014,1530,01,Central,0161,480,BIKE - STOLEN,IC,Invest Cont,  800      S  FIGUEROA                     ST,,"(34.0479, -118.2612)"
05/19/2014,140611889,05/18/2014,2200,06,Hollywood,0646,480,BIKE - STOLEN,IC,Invest Cont, 6700         LELAND                       WY,,"(34.0967, -118.3366)"
05/18/2014,141110533,05/18/2014,0855,11,Northeast,1127,480,BIKE - STOLEN,IC,Invest Cont, 6400      N  FIGUEROA                     ST,,"(34.1179, -118.1835)"
05/20/2014,140211145,05/17/2014,0515,02,Rampart,0251,480,BIKE - STOLEN,IC,Invest Cont,  500      S  RAMPART                      BL,,"(34.0636, -118.2805)"
